X trueY nnY L2norm
  0.5139929181      0.2641887199      0.2608541572      0.1111930869E-04
  0.7591269358      0.5762737047      0.5776702402      0.1950311429E-05
  0.9468099383      0.8964490592      0.8971235490      0.4549363842E-06
  0.8590679218      0.7379976942      0.7421905934      0.1758040356E-04
  0.7613437939      0.5796443725      0.5811333730      0.2217122356E-05
  0.5398840549      0.2914747928      0.2877815353      0.1364015100E-04
  0.2527904217E-01  0.6390299731E-03 -0.9141935870E-02  0.9566729282E-04
  0.8725524352      0.7613477521      0.7655124661      0.1734484308E-04
  0.8534056158      0.7283011451      0.7324646140      0.1733447334E-04
  0.2062508895E-01  0.4253942941E-03 -0.1011598579E-01  0.1111206942E-03
  0.2689456888      0.7233178352E-01  0.7664906622E-01  0.1863892994E-04
  0.9378457664      0.8795546815      0.8810177699      0.2140627633E-05
  0.1643557247      0.2701280423E-01  0.3050268460E-01  0.1217926503E-04
  0.5030616075      0.2530709809      0.2499480248      0.9752855175E-05
  0.7305787971      0.5337453788      0.5339347216      0.3585068925E-07
  0.9089286689      0.8261513251      0.8294111467      0.1062643648E-04
  0.1588192250      0.2522354623E-01  0.2848985270E-01  0.1066875796E-04
  0.8785354985      0.7718246222      0.7759285489      0.1684221495E-04
  0.4707422342      0.2215982510      0.2192845394      0.5353261474E-05
  0.2741130747      0.7513797775E-01  0.7936258586E-01  0.1784731374E-04
  0.5154594853E-01  0.2656984810E-02 -0.3254725600E-02  0.3494831996E-04
  0.1338591516      0.1791827246E-01  0.1990094882E-01  0.3931005534E-05
  0.5047634895      0.2547861803      0.2516280633      0.9973703412E-05
  0.1267287705      0.1606018126E-01  0.1758917153E-01  0.2337811250E-05
  0.6913756419      0.4780002783      0.4766179042      0.1910958034E-05
  0.3053849288      0.9325995477E-01  0.9673995665E-01  0.1211041308E-04
  0.5354869863      0.2867463125      0.2830991834      0.1330155050E-04
  0.3156939976      0.9966270014E-01  0.1028387476      0.1008727760E-04
  0.4120352650      0.1697730596      0.1694457534      0.1071293661E-06
  0.6887271268      0.4743450552      0.4728650423      0.2190438126E-05
  0.7092413280      0.5030232613      0.5023322165      0.4775430247E-06
  0.6140364001      0.3770407007      0.3735532572      0.1216226160E-04
  0.1422720381      0.2024133283E-01  0.2270855871E-01  0.6087203553E-05
  0.4897041920      0.2398101957      0.2369902463      0.7952114349E-05
  0.1133187818      0.1284114631E-01  0.1340629755E-01  0.3193959324E-06
  0.5899959258      0.3480951925      0.3443338823      0.1414745455E-04
  0.4527064764      0.2049431538      0.2031826184      0.3099484961E-05
  0.6425942089      0.4129273173      0.4100156642      0.8477723965E-05
  0.6843995604E-01  0.4684027583E-02  0.8955557299E-03  0.1435251898E-04
  0.4187294875E-01  0.1753343837E-02 -0.5501099313E-02  0.5262694542E-04
  0.8488176800      0.7204914538      0.7246146509      0.1700075408E-04
  0.8037507417      0.6460152548      0.6491160144      0.9614709696E-05
  0.7677457212      0.5894334925      0.5911867782      0.3074010946E-05
  0.5772949457E-01  0.3332694543E-02 -0.1769562372E-02  0.2603302563E-04
  0.5137834106      0.2639733930      0.2606425638      0.1109442366E-04
  0.5726302261      0.3279053758      0.3240703654      0.1470730533E-04
  0.6421029561      0.4122962062      0.4093724644      0.8548266018E-05
  0.6089446781      0.3708136210      0.3672516859      0.1268738172E-04
  0.6440353338      0.4147815112      0.4119057435      0.8270039715E-05
  0.5552913620      0.3083484967      0.3045435579      0.1447755906E-04
  0.3727017742      0.1389066125      0.1400772391      0.1370366743E-05
  0.5824270017      0.3392212123      0.3354149304      0.1448778201E-04
  0.2676804451      0.7165282069E-01  0.7599131948E-01  0.1882257179E-04
  0.6324622463      0.4000084930      0.3968626111      0.9896573384E-05
  0.1530298313      0.2341812928E-01  0.2642750687E-01  0.9056353461E-05
  0.6611958400      0.4371799389      0.4347782267      0.5768221615E-05
  0.6225977946      0.3876280139      0.3842854132      0.1117297884E-04
  0.4861484843      0.2363403487      0.2336088166      0.7461267821E-05
  0.5193549194      0.2697295323      0.2663038222      0.1173548939E-04
  0.7087439553      0.5023179942      0.5016070257      0.5054762225E-06
  0.1440708220      0.2075640176E-01  0.2332025354E-01  0.6573335959E-05
  0.8791390772      0.7728855171      0.7769815541      0.1677751940E-04
  0.8403337262      0.7061607714      0.7101734407      0.1610151487E-04
  0.6052743468      0.3663570349      0.3627468581      0.1303337584E-04
